GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.ylab.kalenyuk.finance-app,com.ylab.management,TransactionManager,715,12,103,0,228,4,73,1,17,1
com.ylab.kalenyuk.finance-app,com.ylab.management,AdminManager,314,12,42,0,97,5,30,1,7,1
com.ylab.kalenyuk.finance-app,com.ylab.management,UserManager,265,14,30,0,75,3,22,1,7,1
com.ylab.kalenyuk.finance-app,com.ylab.management,GoalManager,216,9,30,0,57,4,19,1,3,1
com.ylab.kalenyuk.finance-app,com.ylab.management,StatisticsManager,363,9,53,0,96,4,32,1,4,1
com.ylab.kalenyuk.finance-app,com.ylab.management,BudgetManager,232,9,32,0,58,4,20,1,3,1
com.ylab.kalenyuk.finance-app,com.ylab.management,NotificationManager,177,12,22,0,41,5,14,1,3,1
com.ylab.kalenyuk.finance-app,com.ylab.entity,User,45,41,2,0,17,14,11,5,10,5
com.ylab.kalenyuk.finance-app,com.ylab.entity,Budget,43,0,2,0,12,0,6,0,5,0
com.ylab.kalenyuk.finance-app,com.ylab.entity,Transaction,80,0,0,0,26,0,14,0,14,0
com.ylab.kalenyuk.finance-app,com.ylab.entity,Goal,42,0,0,0,15,0,8,0,8,0
com.ylab.kalenyuk.finance-app,com.ylab.entity,TransactionType,15,0,0,0,2,0,1,0,1,0
com.ylab.kalenyuk.finance-app,com.ylab,App,127,212,32,15,39,65,30,12,1,9
